form,dependencies
a63-bil.pdf.txt,"c(""a63"", ""a6"", ""d1"")"
a63-eng.pdf.txt,"c(""a63"", ""a6"")"
a63-nodiadau-a63-notes-bil.pdf.txt,none detected
a63-notes-eng.pdf.txt,"c(""ex50"", ""a63"", ""a6"", ""a63 notes"")"
a64-bil.pdf.txt,none detected
a64-eng.pdf.txt,"c(""a64"", ""a6"")"
a64a-bil.pdf.txt,"c(""a64a"", ""a64"", ""a6"")"
a64a-eng.pdf.txt,"c(""a64a"", ""a64"", ""a6"")"
a65-bil.pdf.txt,none detected
a65-eng.pdf.txt,"c(""a65"", ""a6"")"
ac001-(birmingham)-eng.pdf.txt,"c(""ex160"", ""ac001"")"
ac001-(cardiff)-eng.pdf.txt,"c(""ex160"", ""ac001"", ""c(f1)"")"
ac001-(leeds)-eng.pdf.txt,"c(""ex160"", ""ac001"")"
ac001-(london)-eng.pdf.txt,"c(""ex160"", ""c2"", ""c3"", ""ac001"", ""c32"")"
ac001-(manchester)-eng.pdf.txt,"c(""ex160"", ""ac001"")"
ac010-eng.pdf.txt,none detected
ac011-eng.pdf.txt,none detected
ac013-eng.pdf.txt,none detected
ac015-eng.pdf.txt,none detected
ac016-eng.pdf.txt,none detected
ac017-eng.pdf.txt,none detected
adm1-eng.pdf.txt,"c(""c4"", ""adm1"")"
adm10-eng.pdf.txt,"c(""adm10"", ""adm1"")"
adm11-eng.pdf.txt,"c(""adm11"", ""adm1"")"
adm12-eng.pdf.txt,"c(""adm12"", ""adm1"")"
adm12a-eng.pdf.txt,"c(""adm12a"", ""adm12"", ""adm1"")"
adm13-eng.pdf.txt,"c(""adm13"", ""adm14"", ""adm1"")"
adm14-eng.pdf.txt,"c(""adm14"", ""adm1"")"
adm15-eng.pdf.txt,"c(""c4"", ""adm15"", ""adm1"")"
adm15b-eng.pdf.txt,"c(""c4"", ""adm15b"", ""adm16"", ""adm16a"", ""adm15"", ""adm1"")"
adm16-eng.pdf.txt,"c(""adm16"", ""adm1"")"
adm16a-eng.pdf.txt,"c(""adm16"", ""adm16a"", ""adm1"")"
adm17-eng.pdf.txt,"c(""adm17"", ""adm1"")"
